Name,Team,Age,Weight,College
Avery,Boston Celtics,25,180,Texas
Evan,Boston Celtics,27,220,Ohio State
Tyler,Boston Celtics,26,253,North Carolina
Bojan,Brooklyn Nets,27,216,Oklahoma State
Markel,Brooklyn Nets,24,190,Oklahoma State
Lou,New York Knicks,33,220,UNLV
Derrick,New York Knicks,25,240,Arizona
Tony,New York Knicks,23,205,Arizona
Elton,Philadelphia 76ers,37,254,Duke
Isaiah,Philadelphia 76ers,25,201,Murray State
Robert,Philadelphia 76ers,25,215,Tennessee State
Lucas,Toronto Raptors,23,220,Texas
Patrick,Toronto Raptors,27,235,Kentucky
James,Golden State Warriors,23,240,North Carolina
Brandon,Golden State Warriors,30,220,Kansas
